COVID-19 Vaccinations in the United States
Date generated: Tue Apr 18 2023 10:45:52 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
South Carolina,14129805,274434,349962,8647892,167962,7959647,197141,3663697,71.2,3317589,82.2,3089758,60,2809642,69.6,6874265,N/A,5125140,N/A,466700,47500,N/A,233994,3124088,N/A,4675620,N/A,764,3324,994616,95,860173,91.8,2863455,305591,1507950,3530989,79.9,2989595,67.6,8392682,189881,319681,3644266,75,3079952,63.4,8610416,177306,290961,595540,11.6,595117,12.3,586667,13.3,572757,14.2,323258,34.5,N/A,N/A
South Dakota,2694425,304572,403624,1685651,190542,1512005,226498,744617,84.2,657978,95,587813,66.4,523683,78.4,1325725,N/A,882400,N/A,94000,5000,N/A,42522,590296,N/A,900370,N/A,101,239,196716,95,159478,95,528219,347808,1774150,706461,95,561120,76,1610957,218257,365048,738538,89.7,586263,71.2,1674734,203370,327195,153549,17.4,153480,18.6,149891,20.3,144675,21.7,74278,48.9,N/A,N/A
Tennessee,17054590,249731,320628,11280871,165186,10458824,196627,4407374,64.5,4014104,75.5,3847852,56.3,3524621,66.3,8743140,N/A,5670040,N/A,533400,18900,N/A,271055,4041531,N/A,6184812,N/A,1823,78461,1081251,94.6,991728,86.7,3515706,307480,1491580,4259425,73,3733787,64,10981981,188190,292252,4385439,68.3,3838697,59.8,11239655,175057,265624,694525,10.2,694516,10.8,685088,11.7,668034,12.6,345724,30.2,N/A,N/A
Texas,80161565,276458,371186,52325747,180459,45731769,211760,22265802,76.8,18978306,87.9,18386939,63.4,15994915,74.1,43553365,N/A,25448580,N/A,2668000,110700,N/A,1548828,17669361,N/A,29783223,N/A,6349,59108,3754176,95,3327307,89.1,11387140,304940,2146670,20920147,86.8,17516959,72.7,49731913,206347,332605,22108152,81.9,18346138,67.9,52027810,192660,296840,3164142,10.9,3160197,11.7,3083349,12.8,2968379,13.7,1231909,33,N/A,N/A
Utah,8376800,261289,368248,6151280,191870,5284521,232310,2420277,75.5,2026509,89.1,2145195,66.9,1818223,79.9,4649090,N/A,2420360,N/A,257900,9100,N/A,188721,1948357,N/A,3522216,N/A,1126,2752,388293,95,354309,95,1292675,353313,2289540,2250341,86.8,2017723,77.8,5795139,223556,323147,2392622,80.9,2133928,72.1,6095442,206056,283177,473624,14.8,473053,16,456375,17.6,431309,19,168729,46.1,N/A,N/A
Virginia,26595295,311584,398451,19547911,229018,17298162,259161,7786575,91.2,6773289,95,6551216,76.8,5698204,85.4,14038955,N/A,8057380,N/A,803300,32800,N/A,510017,6271972,N/A,10925723,N/A,2460,16486,1563040,95,1328301,95,4925063,362429,1957110,7321192,95,6178770,84.6,18543964,253784,363971,7705864,95,6503316,81,19376423,241299,331197,1792147,21,1789073,22.3,1738371,23.8,1667581,25,695409,51.2,N/A,N/A
Veterans Health,9838120,N/A,N/A,8677707,N/A,8674057,N/A,3725507,N/A,3723432,N/A,3058356,N/A,3056856,N/A,3780600,N/A,4250780,N/A,626900,11800,N/A,257902,4037420,N/A,3513836,N/A,575,38,1809758,N/A,1572187,N/A,4757280,N/A,N/A,3725376,N/A,3058277,N/A,8677494,N/A,N/A,3725393,N/A,3058283,N/A,8677517,N/A,N/A,866731,N/A,866731,N/A,866731,N/A,866701,N/A,562196,N/A,N/A,N/A
Virgin Islands,172740,162518,211933,155023,145849,144918,177798,75196,70.7,69782,85.6,59002,55.5,54741,67.2,115760,N/A,44240,N/A,3400,300,N/A,2353,45731,N/A,103008,N/A,9,N/A,21521,95,16311,79.7,46026,224758,843539,73571,82.3,57832,64.7,152209,170209,193167,75090,75.4,58970,59.2,154867,155451,173392,3980,3.7,3980,4,3968,4.4,3929,4.8,2253,11,N/A,N/A
Vermont,2562230,410621,502414,1754720,281210,1557070,305317,623231,95,543618,95,536458,86,467395,91.6,1243690,N/A,831020,N/A,74200,3200,N/A,54472,601573,N/A,885617,N/A,176,938,151642,95,133796,95,539089,431137,2049150,582121,95,501834,91.1,1658535,301032,465057,613938,95,530479,89.2,1733813,291424,430666,209898,33.6,209192,35.2,202357,36.7,193190,37.9,84209,67.3,N/A,N/A
Washington,25324165,332561,425485,17639837,231649,15695704,263712,6509180,85.5,5689542,95,5807216,76.3,5091263,85.5,12797135,N/A,7783700,N/A,777800,38700,N/A,495318,5860320,N/A,9300510,N/A,3852,20782,1297485,95,1187368,95,4514313,373169,2093390,6117102,94.1,5480747,84.3,16738512,257479,389547,6422339,89.7,5751005,80.3,17451516,243790,353768,1945274,25.5,1936029,27,1868394,28.7,1791073,30.1,698579,57.7,N/A,N/A
Wisconsin,16338475,280612,358627,12406265,213077,11231755,246535,4383445,75.3,3878650,85.1,3978606,68.3,3537296,77.6,8181185,N/A,5142400,N/A,457200,21200,N/A,338915,4215065,N/A,6526550,N/A,1491,5087,1080716,95,1008442,95,3929361,386276,1606150,4154292,83.1,3787454,75.8,11895876,237927,326783,4338570,79,3952626,72,12311375,224172,297499,1310564,22.5,1307901,23.8,1276399,25.5,1230789,27,589418,57.9,N/A,N/A
West Virginia,5476395,305577,382275,3094030,172644,2892483,201907,1211542,67.6,1113724,77.7,1071090,59.8,988786,69,2693605,N/A,1962360,N/A,172600,10000,N/A,68645,1243942,N/A,1571006,N/A,271,2348,353889,95,321840,87.7,1082814,295036,1492160,1177282,75.6,1044662,67.1,3028478,194403,351538,1207553,71.1,1068843,62.9,3086629,181660,322307,207145,11.6,207141,12.2,205261,13.2,201576,14.1,113881,31,N/A,N/A
Wyoming,1274595,220229,286410,852206,147247,789026,177299,353371,61.1,322704,72.5,307401,53.1,281723,63.3,585145,N/A,490040,N/A,49300,3300,N/A,29201,347483,N/A,410487,N/A,197,1250,97321,95,87089,87.8,283568,285915,1285150,342123,69.7,298549,60.8,829892,169117,259739,352019,64.7,306721,56.4,849569,156220,234375,64709,11.2,64704,11.9,63730,13,62116,14,34203,34.5,N/A,N/A
